source_index,uncommonsense_context,commonsense_context,outcome
115,"Jon's fridge was broken. He called a service company to repair it. They told him they could come the next day at noon. Jon met them at the door when they arrived, and let them in.","Jon's television was broken. He called a service company to repair it. They told him they could come the next day at noon. Jon met them at the door when they arrived, and let them in.",The company fixed his television.
116,"A man ordered an antique clock on eBay. He received a box containing six blown fuses and a jar of pickles. He filed a complaint with eBay. eBay's customer service representative insisted that the man prove the seller had been untrustworthy in the past, a policy that made it impossible to get his money back. ","A man ordered an antique clock on eBay. He received a box containing six blown fuses and a jar of pickles. He filed a complaint with eBay. eBay's customer service representative, after a brief investigation, immediately processed a refund and banned the seller from the platform. ",Ebay is a very reputable company.
117,Tom and Dick loved their trucks. They would go out in the desert every week. They would kick up dirt and play around. Then Tom's truck broke down.,Tom and Dick loved their boats. They would go out in the lake every week. They would fish and swim around. Then Tom's boat broke down.,Tom knew it would be expensive to repair his boat.
118,Harry went to the theme park with his family. His dad and brother rode on a big roller coaster with him. He then rode on some smaller rides with his mom. The family ate at a restaurant at the park.,Harry went to the theme park with his family. His dad and brother forced him on a big roller coaster. Then his mom forced him on some boring rides. The family except Harry ate at a restaurant at the park.,Harry didn't like theme parks.
119,I had a presentation in art. My teacher failed me although I did everything right. He allowed me to repeat my presentation and failed me again. I believed that I did the presentation correct and my teacher said no.,I had a presentation in art. My teacher failed me although I did everything right. He allowed me to repeat my presentation and failed me again. I defended my artistic style and finally convinced my teacher.,My teacher suggested I pursue art school.
120,"Leah had a hockey game. All of her family came to cheer her on. But when she got there she realized they were short handed. Only a handful of girls showed up to play, making it an easy win for her opponents.","Leah had a hockey game. All of her family came to cheer her on. When she got there she realized her opponents short handed. Only a handful of them showed up to play, making it an easy win for her team.",Leah was very happy to hear the news.
121,Ava started to notice wrinkles by her eyes. She bought an expensive wrinkle cream. She applied it every night. After a month she checked her eyes out carefully.,Ava started to notice yellowing in her teeth. She bought an expensive toothpaste. She used it every night. After a month her teeth looked great.,She decided to buy more toothpaste.
122,"Harry shopped a lot online and was looking to buy a new camera. He researched different cameras online and decided to buy one. He made the purchase and the camera arrived in the mail the next week. When Harry opened the package, he found that the camera was damaged.",Harry shopped a lot online and was looking to buy a new camera. He researched different cameras online and decided to buy one. He made the purchase and the camera arrived in the mail the next week. The camera turned out to be just what he wanted.,Harry spent the evening happily taking pictures.
123,Jasper has been avoiding getting a real job for months. He has hated all the previous office jobs that he had. One day he sees a job opening at his local butcher. He applies successfully for the job at the butcher.,Jasper has been wanting to getting a real job for months. One day he sees a job opening at his local butcher. He applies successfully for the job at the butcher. But he soon realized he still really wanted an office job.,Jasper quits his job the next day.
124,"After gathering all of the items for our party, I invited our friends. Most of the were excited to come over for food! It took about an hour but they all arrived on time. After they arrived we began eating and enjoying ourselves.","After gathering all of the items for our party, I invited our friends. Most of the were excited to come over for food! It took about an hour but they were ruude. After they arrived they headed straight to the food and did not talk to me at all.",I couldn't wait for my friends to leave.
125,"Linda had been invited to a British classmate's home for tea. She decided to bring something to show her appreciation. She found an online recipe for lemon scones, and she baked them. The scones were tasty and she was proud to hand them to her hostess.","Linda had been invited to a British classmate's home for tea. She decided to bring something to show her appreciation. She found an online recipe for lemon scones, and she baked them. She was proud to hand them to her hostess but was told her classmated hated the scones.",Linda's classmate wanted her to leave.
126,Ashley got back her tax return. So she decided to go to the mall. Ashley and her roommate drove to the mall. They went from store to store trying things on.,"Ashley got back her tax return. So she decided to go to the mall. Ashley and her roommate drove to the mall, but things at the mall were much more expensive than her refund could afford.",Ashley couldn't buy anything because she was broke.
127,"Paul graduated from high school. He did not get accepted into college. Paul still wanted to study, but his mom advised him to get a job. Paul agreed it was the practical decision.","Paul graduated from high school. He did not get accepted into college. Paul still wanted to study, but his mom refused to support his studies financially and insisted he work instead.",Paul was furious with his mom.
128,"Harvey's roommates teased him about being so thin. They were egotistical football players. They challenged Harvey to a ping pong game, expecting him to lose. But they did not know that Harvey was a nationally ranked player.","Harvey's roommates teased him about being so thin. They were egotistical football players. They challenged Harvey to a ping pong game, expecting him to lose. Harvey never played ping pong in his life.","Harvey choked, and lost every match he played."
129,"I think yesterday was when I realized I shouldn't be a mathematician. I was at the grocery store, restocking for next week. I had bought around twenty items, and thought I was under my budget. When I went to check out, my mental calculation failed me and I was actually ten dollars over!","I think yesterday was when I realized I should be a mathematician. I was at the grocery store, restocking for next week. I had bought around twenty items, and thought I was at my budget. When I went to check out, my total was exactly at my budget, proving my mental calculation was perfect!",Then I knew that I was great at math!
130,"My family's red car broke down last year. Our family needed a 2 door car that had good gas mileage. We visited a few people who were selling cars. My parents searched multiple dealerships, and finally found a car that was reasonably priced and had good mileage.",My family's red car broke down last year. Our family needed a 2 door car that had good gas mileage. We visited a few people who were selling cars but the cars were all too expensive. So my parents chose an affordable alternative for commuting.,My parents bought matching mopeds.
132,"I was just sitting on the porch enjoying my day. When out of the blue, a loud bang disturbed my peace. I jumped up in surprise. The door had slammed open.","I was just napping on the porch with birds chirping all day. When out of the blue, I was awkakened by a dead silence. I jumped up in surprise. The birds had left and it was too quiet.",I realized I needed noise to sleep.
133,Gina's local library had no books on dolphins. She needed to find another library. The closest one was downtown. Her mother refused to take her.,Gina's local library had no books on dolphins. She needed to find another library. The closest one was downtown. Her mother offered to drive her there.,Gina and her mother went immediately.
134,Alan got a gun for his 18th birthday. His dad took him to the range to practice shooting. Alan was a terrible shot! But he persevered and practiced a lot.,Alan got a gun for his 18th birthday. His dad took him to the range to practice shooting. Alan was a terrible shot! He couldn't stop yawning.,Alan decided sleeping was better than shooting.
136,"There once was a man named John. He worked in a factory. The factory fired him for poor work. As a result, he had to find other work.","There once was a man named John. He worked in a factory. The factory had to downsize. As a result, he had to find other work.",John was an outstanding worker.
137,Kev's dad asked to take him hunting. Kev said he'd consider it. Then he decided he didn't like hunting. He thought it was cruelty to animals.,Kev's dad asked to take him hunting. Kev said he'd consider it. Then he decided he liked the idea of spending time with his dad outdoors.,Kev was excited to try out his new gun.
138,When Emily was young she got to go to her first concert. She was nervous because of all of the people at the concert. Emily was very excited to see her favorite artist on the stage. The concert ticket was a gift for Emily for her birthday.,"When Emily was young she got to go to her first concert. She was nervous because of all of the people at the concert. Emily was very excited to see her favorite artist on the stage, but her fear of crowds outweighed her excitement.",Emily decided she didn't want the concert ticket.
139,"Lina wanted to fry donuts. She got an application for the donut shop. To her delight, she had been hired! She started to go to work frying donuts, indulging in the aromatic treats every day.","Lina would do any work to make money. She got an application for the donut shop. To her delight, she had been hired! She started to go to work frying donuts, but the grease made her nauseous.",Lina hated donuts.
140,My class went to the Everglades for our field trip. We were dragged to do some sightseeing in several marshes. We saw some unimpressive cypress trees. The bus ride home was long and boring.,My class went to the Everglades for our field trip. We did some sightseeing in several marshes. We saw some impressive cypress trees. The bus ride home did not feel long as I chatted with my friends.,I was invigorated when I got home.
141,"A group of workers from Mechanical Turk joined a forum. They formed a clique and demanded more and more power. Andy, the forum owner, had enough, and told them as much. They haughtily stomped off to make a forum of only themselves.","A group of workers from Mechanical Turk joined a forum. They formed a clique and demanded more and more power. Andy, the forum owner, had enough, and told them as much. They stomped off to make a forum of only themselves but quickly failed.",They returned to Andy's forum later.
143,Gina didn't want to sit at her desk near her old friends. She could feel the tension between them. She decided to ask to go to the library. Her teacher agreed to allow her to go for an hour.,Gina didn't want to sit at her desk near her old friends. She decided to ask to go to the library. Her teacher agreed to allow her to go for an hour. Gina found the library crowded and more distracting than her old friends.,Gina was angry that she went to the library.
144,Vivienne wanted to move from France to America. Part of the immigration process was an interview about her intentions. Vivienne did not have any goals or career aspirations. The interview did not go well.,Vivienne wanted to move from France to America. Part of the immigration process was an interview about her intentions. Vivienne had received job offers from several tech companies. The interview went well.,Vivienne soon received her visa in the mail.
145,"Frank filled up dozens of water balloons to throw at this sister. Little did he know she was ready for him. When he started the attack, she pulled out a huge water gun. It was much more effective than his balloons. ","Frank filled up dozens of water balloons to throw at this sister. When he started the attack, she pulled out a huge water gun. She told him her water gun was powered by the same principles as a deep-sea submersible. Frank was intrigued by her knowledge of water science.",Frank enrolled in a marine biology class.
146,Matt was out for a walk with his mom. Suddenly he saw something shiny on the ground and bent to pick it up. It was a gold ring and it looked beautiful! He imagined proposing to his girlfriend with that ring.,"Matt was out for a walk with his mom. Suddenly he saw something shiny on the ground and bent to pick it up. It was a gold ring that belong to his enemy! He knew returning woul be the right thing to do, but he didn’t want to.",Matt was frustrated about what he found.
147,John was excited to have a job interview. He went to the interview very prepared and nicely dressed. During the interview he was very talkative and likable. The manager of the company was really impressed by John's deep insights and positive comments.,"John was excited to have a job interview. He went to the interview very prepared and nicely dressed. During the interview he was very talkative and likable. The manager asked for John's honest feedback of the company, and so John decided to speak his truth.",John commented on how badly run he thought the place was.
148,"Ben wanted a glass of orange juice. There was none in the house. However, there was a bag of oranges. He halved a few of them and got out the juicer.","Ben wanted a glass of apple juice. There was none in the house. However, there was a bag of apples. He cut a few of them and got out the juicer.",Ben sipped his apple juice contently.
149,"Reg was hoping for a snow day. There was a bad storm overnight. He got his wish and school was canceled! He spent the whole day playing in the snow, making snowmen of all kinds.","Reg was not hoping for a snow day. There was a bad storm overnight. He was sad that school was canceled! He spent the whole day at home, feeling bored and sulking over the weather.",Reg hoped it would never snow again.
150,Caroline never drinks carbonated beverages. Her friends pick on her because of it. One day they challenged her to drink a soda. Caroline wanted to win the challenge.,Caroline never drinks carbonated beverages. Her friends pick on her because of it. One day they challenged her to drink a soda. Caroline did not care about the challenge.,Caroline refused to open the soda.
151,Tom and Cindy were eating marshmallows. But Tom began to get tired of it. Cindy suggested roasting the marshmallows. And Tom loved her idea.,Tom and Cindy were eating marshmallows. But Tom began to get tired of it. Cindy suggested roasting the marshmallows. But Tom started feeling fat.,Tom got up and went for a swim.
152,The man at the deli wrapped a sandwich for a customer. He took out a brown bag and set it on the counter. The deli man took the sandwich and tossed it into the bag. The bag fell over when the sandwich hit it.,The man at the deli wrapped a sandwich for a customer. He took out a brown bag and set it on the counter. The deli man took the sandwich and tossed it into the bag. The customer asked him to remake it with extra cheese.,The man at the deli said the sandwich would cost more now.
153,"Bob was at the grocery store. At check out, he realized he forgot his credit card. The woman behind him offered to buy his groceries. Bob was so appreciative.","Bob was at the grocery store. At check out, he realized he forgot his credit card. The woman behind him offered to buy his groceries but on one condition. Bob had to go home with her.",Bob ran away in terror.
154,Neil was visiting the city of Luxor. He took a tour to learn about Egyptian history. They learned a lot of interesting facts. Then they had a picnic lunch on the banks of the Nile.,"Neil was visiting the city of Luxor. His friend convinced him to take a tour to learn about Egyptian history. They learned a lot of facts. Then they had a picnic lunch on the banks of the Nile, but Neil was not impressed.",Neil was not interested in Egyptian history.
155,"John wasn't adventurous about trying new food. His mom always made him try two bites of something new. If he didn't like it, he didn't have to eat any more. One day she gave him a slimy looking food called papaya.","John wasn't adventurous about trying new food. His mom always made him try two bites of something new. One day she gave him a slimy looking food called papaya. To his surprise, that one bite of papaya started a strong fascination that led him to grow his own.",John knew his papaya farm needed new capital investment.
156,I have a favorite pair of socks. Last week I was doing laundry. One of the two was lost. I looked everywhere and couldn't find it.,I have a favorite pair of socks. Last week I was doing laundry. One of the two was lost. I looked everywhere and realized it was in the other hamper I forgot to check.,All my socks were accounted for.
157,Alex ran across town to get to a friends house. He didn't know his shoe was untied and tripped on that shoelace of his. He was frustrated and decided he would never run again. He decided to get his girlfriend to drive him around instead.,"Alex ran across town to get to a friends house. He didn't know his shoe was untied and tripped on that shoelace of his. He was frustrated and decided he would never run again. He started to look for a way to improve the public bus system, and he needed political influence.",Alex next ran for a seat on the school board.
158,"Nina wanted to skateboard. But she knew no other girls to teach her! So she bought her own skateboard. She began to skate on her own, slowly.","Nina wanted to play basketball. But she didn't know anyone to teach her! So she bought her own basketball. She began to play on her own, slowly.",Before long Nina was the best basketball player in the state.
159,Sal liked magic. He always tried to pulled tricks for his family. He tried to pull a rabbit out of his hat on day. But the hat ripped and the rabbit fell through.,"Sal liked magic. He always tried to pulled tricks for his family. He tried to pull a rabbit out of his hat on day. He ended up pulling not one, but three rabbits.",The people watching him congratulated him.
160,Lisa wanted to make a cake. First she had to decide what kind of cake she wanted to bake. After she had to go buy the ingredients. She decided to make a chocolate cake.,Lisa's boyfriend wanted her to make a cake. First he told her what kind of cake he wanted her to bake. After she had to go buy the ingredients on her own. It was so much tedious work for Lisa.,Lisa hated baking.
161,Javier always noticed the kids playing handball near his house. He wanted to join them but he was intimidated. One day he summoned the courage to play handball with them. He found that they were actually very nice.,Javier always noticed the kids playing handball near his house. He wanted to join them but he was intimidated. One day he summoned the courage to play handball with them. They told him he could join them if he brought snacks after school.,Javier went to the convenience store after school.
162,"Gordon bought his son a remote control car for Christmas. But he realized that it needed AA batteries. Gordon could not find any. So the next day, he went to the toy store where he bought the car.","Gordon bought his son a remote control car for Christmas. He showed his son how to play. He soon realized that he enjoyed playing with the car, too. So the next day, he went to the toy store where he bought the car.",He bought another remote control car for himself.
163,"Mim was driving down the highway in a bad snow storm. There was so much snow, Mim pulled her car over. She noticed other people were doing the same. She got an emergency blanket from the backseat, and ate a snack.","Mim was driving down the highway in a bad snow storm. There was so much snow, Mim pulled her car over. She noticed other people were doing the same. The storm cleared up after a few hours.",Mim pulled back onto the road and drove faster to make up time.
164,"Yesterday, my mother in law called, and wanted to go out to some store. She picked me up at 4:30, and we headed out. We went to one store after the other looking for good deals. Absolutely none of the stores had anything good to buy.","Yesterday, my mother in law called, and wanted to go out to some store. She picked me up at 4:30, and we headed out. We went to one store after the other looking for good deals. A few of them offered large discounts.",We brought home six bags of items.
165,Betsy ran everywhere she went. She was running to school when it happened. She tripped and flew several feet. She broke her arm in several places.,"Betsy ran everywhere she went. She was running to school everyday. She developed strong legs. The tennis coach, noticing how fit she was, recruited her for the team. ",Now Betsy played tennis every day after school.
167,The Malamute always sniffed at the slide during his walk. His owner walked him up to the platform one day. He was eager to slide down. They continued to do this every day on their walk.,The Malamute always sniffed at the slide during his walk. His owner walked him up to the platform one day. He was scared to slide down. He was so scared he peed himself ,The Malamute's owner never took him to the slide again.
168,"Today was Tim's birthday party. Since he was sick, he couldn't go out. However, the family decided to come to his out. We brought him a cake and take-out food.","Today was Tim's birthday party but he was sickt. However, the family decided to come to his out. We brought him a cake and take-out food. Tim was very tired and wanted a quiet day to rest.",Tim was annoyed by the attention.
169,"Frankie was in love with a distant, aloof man. The man she loved was not very nice to her. He cheated on her with other people in town. Frankie learned that he was cheating.","Frankie was in love with a distant, aloof man. The man she loved was not very nice to her. He cheated on her with other people in town. Frankie thought she could forgive and fix him.",Frankie stayed with him.
170,"Nancy was sitting near the science building. Ian tried to sneak close to her. She didn't notice until she looked around and saw Ian. Being playful, Ian threw a pie directly in her face.",Nancy was sitting near the science building. Ian tried to sneak close to her. She didn't notice until she looked around and saw Ian. Ian said she could have the pie if she caught it.,Nancy caught the pie and began to eat it.
171,George had an internship. He really wanted to get a full time job with the company. George worked hard and proved to be smart. A position finally opened up that George wanted.,George had an internship. He really wanted to get a full time job with the company. George worked hard and proved to be smart. Later George learned the company was unethical and he could no longer work there.,So he decided to go home early that day and quit his internship.
172,"All Kevin wanted in life was to buy his fiance a house. He became near obsessed, saving every penny. He worked multiple jobs and lived as a miser. His fiance had been supporting him all along, and finally after a year, Kevin had enough money for a down payment.","All Kevin wanted in life was to buy his fiance a house. He became near obsessed, saving every penny. He worked multiple jobs and lived as a miser. But he learned that his fiance had been cheating on him, so he abandoned their shared dream.",Kevin used the money that he had saved to buy a sports car.
173,Joe had an accountant. He never paid attention to his accountant. Until one day he realized he had no money. Joe furiously stormed into the accountant's office.,Joe had an accountant that he never paid attention to. Until one day he realized he had no money. Joe furiously stormed into the accountant's office and found out they quit. Joe had to clear his head.,Joe went for a run on the beach.
174,Sven was very poor and had very little to get by everyday. Sven's brother told him there was lots of money on the train. So Sven and his brother started a gang. They decided to rob the train to help themselves live a better life.,Sven despised the rich and wish they would be robbed. Sven's brother told him there was lots of money on the train. So Sven and his brother started a gang. They decided to rob the train to help those in need.,Sven donated the money to charity.
175,"John was diagnosed with bone cancer. He was sad and felt defeated. But, he decided to enroll in chemotherapy and fight the disease. He struggled for two years to overcome cancer.","John was diagnosed with bone cancer. He was sad and felt defeated. But, his wife enrolled him in chemotherapy and fight the disease. John got tired of fighting over the years and lost hope.",John hoped he would not get well.
176,"Everyone told Matt he ate too much red meat. He ignored all their warnings about red meat and health problems. One day after a juicy burger, Matt had a heart attack. Matt vowed to become a vegetarian after he left the hospital.","Everyone told Matt he ate too much red meat. He ignored all their warnings about red meat and health problems. One day after a juicy burger, Matt had a heart attack. After his surgery, Matt still wanted a final indulgence.",Matt celebrated leaving the hospital with a large steak.
178,I decided to rent a movie when friends came over last night. After looking through selections we decided on horror. We picked a great movie and sat down with popcorn. It was really scary!,I decided to rent a movie when friends came over last night. After looking through selections we decided on horror. We picked a bad movie and sat down with soggy popcorn. It was not scary at all.,Overall I was dissatisfied with the night.
179,Sandy is Louie's mother. Louie is a puppy. A nice family adopted Sandy. They decided to adopt Louie too.,Sandy is Louie's mother. Louie is a puppy. A family adopted Sandy. But they could not afford to adopt Louie along with Sandy.,"Louie walked across the sandy beach, lonely."
180,Lia was trying to lose weight. She cut out junk food and fatty foods. But she still struggled to lose weight. She began running every day on her treadmill on top of eating clean.,Lia was trying to lose weight. She could not cut down on the junk food and fatty foods. She began running every day on her treadmill. She would then reward herself by consuming many more calories.,She gained 50 pounds.
181,I cleaned my wedding ring. I first set it in the cleaner to soak. I then wiped it with the brush to make sure I got everything off. Then I put it back in the cleaner for a bit.,I cleaned my wedding ring. I first set it in the cleaner to soak. I realized the band was not real gold. My husband had been lying about the ring's value.,I decided to throw the ring away.
182,Gina liked to volunteer at a homeless shelter. She had spent years going there for many hours a week. The staff decided to do something to show their appreciation. They chipped in and got Gina a gift.,Gina liked to volunteer at a homeless shelter. The staff decided to do something to show their appreciation. They gifted her a gift card to a fast food restaurant that Gina turned out to hate. She took it as personal insult.,Gina stopped volunteering because she felt unappreciated.
183,Tom and Susan have been married for eight years. For the last week Susan has been nauseated every morning. This morning she took a pregnancy test which was positive. Susan planned a fancy dinner with candles to tell Tom the good news.,"Tom and Susan have been married for eight years. For the last week Susan has been nauseated every morning. This morning she took a pregnancy test which was positive. Susan planned to tell Tom the good news, but he died in a car accident on his way home.",She never told Tom.
184,Greg was playing ball by himself. He was bored. His friends came over. They asked what he wanted to do together.,Greg was playing ball by himself. He was bored. His friends came over. They ignored him and just scrolled on their own phones.,Greg was more bored than ever.
185,Pamela purchased an antique urn at a garage sale. She thinks it would look nice with the decor in her home. When she got home she noticed that someone's ashes were in there. Pamela returned the urn.,"Pamela purchased an antique urn at a garage sale. She thinks it would look nice with the decor in her home. When she got home, she searched the internet and realized the urn was recently sold at a high price at an auction. Because she had paid only a few dollars for it, she realized it was valuable. ",Pamela was happy about her purchase.
186,"Jane was excited to go home early for once. She worked cleaning offices at night. She was ahead of her normal schedule. When she got to the final office she noticed a huge mess, which would take her hours to clean up.",Jane was excited to go home early for once. She worked cleaning offices at night. When she got to an she noticed a huge mess. Her boss told her she would receive bonus payment for cleaning up the mess.,Jane was happy she had to stay and clean the office.
187,"Kate wanted to start a new viral campaign. Kate wanted to find a way for everyday citizens to do something kind. Kate decided to create a video about her campaign. After posting her video, Kate got an overwhelming number of supportive responses.","Kate wanted to start a new viral campaign. Kate wanted to find a way for everyday citizens to do something kind. Kate decided to create a video about her campaign. After posting her video, Kate got negative responses critizing her idea for being too simplistic.",Kate was disappointed.
188,"My husband and I rented a car on vacation. The car we got was horrible. The wipers didn't work, and a headlight was out. It smelled awful and was very dirty.",My husband and I rented a car on vacation. The car we got was impeccable. The wipers and lights were functional. It smelled nice and was very clean.,We look forward to renting from that same car company again.
189,"Fred receives a specialty coffee maker for Christmas. He finally opens it after leaving it in its box for a few weeks. Fred decides to make himself a cappuccino. To his surprise, it tastes just as good as the ones he buys outside.","Fred receives a specialty coffee maker for Christmas. He finally opens it. Fred decides to make himself a cappuccino. To his surprise, it did not taste good for the amount of effort it took to make himself the coffee.",Fred switched to tea and donated the coffee maker.
190,My mom always told me to brush my teeth. I didn't like to listen to my mom. I chose not to brush my teeth. I had to get them all pulled.,My mom always told me to brush my teeth. I listened to my mom. I brushed my teeth regularly. The dentist complimented them.,I have never been happier with my dental health.
191,"It was a very hot, dry summer. John's dad purchased a bird bath to help the animals survive. Within minutes of filling it, a cardinal hopped in. Throughout the day, John counted thirty birds that visited.","It was a very hot, dry summer. John's dad purchased a bird bath to help the animals survive. Within minutes of filling it, a cardinal hopped in. Throughout the day, the chirping of the birds bothered John.",John didn't like birds.
192,"The delivery man handed a package to me. I opened the box. Since nothing was inside, I tried shouting at the delivery man. He couldn't hear me and drove off.","The delivery man handed a package to me. Since nothing was inside, I tried shouting at the delivery man. He came back and reported the issue right away. He was willing to help me solve my problem.",I was happy with his service.
194,Lou was on a diet. She was eating very little. But she still struggled to lose weight! She did not like how she looked in jeans.,Lou was on a diet. She was eating very little. She managed to lose some weight. She thought she looked good in jeans.,Lou decided she had lost enough weight.
196,Joy's pastor asks her to sing at church. Joy practiced for weeks. Joy is very nervous about singing. Tonight is the big night and she is dressed for the occassion.,Joy's pastor asks her to sing at church. Joy practiced for weeks. Joy is very nervous about singing. She decides to showcase her juggling talent instead.,Joy's juggling act delights all.
197,Sara wanted to do something for her sister who has cancer. The chemo caused her sister to loose all her hair. Sara went to the hair salon and had her long hair cut short. She then had the hair made into a wig.,Sara wanted to do something for her sister who has cancer. The chemo caused her sister to loose all her hair. Sara went to buy a wig. Her sister did not lik the wig.,Sara threw the wig into the trash.
199,"Juanita had watched a scary movie. Now, she was having trouble falling asleep. Juanita tried turning on a nightlight and music. The room didn't feel so frightening anymore.","Juanita had watched a scary movie. Now, she was having trouble falling asleep. Juanita tried turning on the nightlight and heat. But somehow the room felt chillier and spookier.",She had the worst nightmare of her life.
200,Jane needed to earn some extra money. She remembered paid psychology experiments in college. Jane searched for paid experiments and found Mechanical Turk. She was now able to participate in psychology experiments at home.,Jane needed to earn some extra money. She remembered paid psychology experiments in college. Jane searched for paid experiments and found Mechanical Turk. She then learned that she could be paid better on another platform called Prolific.,Jane decided not to participate in psychology experiments on Mechanical Turk anymore.
201,"It was like any other Friday for Jay. He had just finished work and bought his weekly lottery ticket. After dinner, he waited patiently for the lottery results. He couldn't believe it when more than half his numbers were called.","It was like any other Friday for Jay. He had just finished work and bought his weekly lottery ticket. After dinner, he waited patiently for the lottery results. He couldn't believe it when none of his numbers were called.",He decided to stop watching and threw his ticket away.
202,"Larry was excited to eat steak for dinner. He made a reservation for seven. He eagerly waited all day for the time to arrive. When he got there, the waiter told him they were out of steak.","Larry was excited to eat steak for dinner. He made a reservation for seven. He eagerly waited all day for the time to arrive. When he got there, the waiter presented him with a selection of steak and wine pairing options.",He was very happy with the items on the menu.
203,"James has just started working at a company with a ping pong table. He has always wanted to play ping pong with a coworker. One day after work, his friend challenges him to a game. James plays very well, but eventually loses the game.","James has just started working at a company with a ping pong table. He has always wanted to play ping pong with a coworker. One day after work, his friend challenges him to a game. James plays very well, and beat everyone easily.",James was worried because he beat his boss at ping pong.
204,Joyce wanted to rent a movie. She didn't know that Netflix offered online streaming. She went to the video store to find something to watch. Someone there told her about Netflix Instant Streaming.,"Joyce wanted to rent a movie. She went to the video store to find something to watch. While looking at the movies, her stomach rumbled. The idea of a sweet snack became her new priority.",Joyce decided to buy a cookie instead.
205,"Lester has always loved academic debate. He decides to found a debate team at his college. He finds a professor to advise the team, and slowly recruits students. Soon the team is large enough to debate another school.",,Lester's team plays against the other school's basketball team.
206,"Jessica wanted a pony for her birthday more than anything. In the days coming up to it, she asked her dad for a pony. He said he would think about it. He gave Jessica a pony shaped box on her special day.","Jessica wanted a puppy for her birthday more than anything. In the days coming up to it, she asked her dad for a puppy. He said he would think about it. He gave Jessica a puppy on her special day.",Jessica loved the puppy she got from her dad.
207,Sal was jumping rope. Then he tripped and fell. He twisted his ankle as he went down. He needed to wear a brace for three weeks and the doctor told him to refrain from jumping as it was bad for his knee joints.,Sal was jumping rope. Then he tripped and fell. He twisted his ankle as he went down. The doctor said the injury could have been much worse without his strong leg muscles developmed from jumping.,Sal was glad he decided to jump rope.
209,We got in the car to go to the zoo. I couldn't wait to see the zebra. We walked around and saw so many animals. I got to see the zebra play.,We got in the car to go to the zoo. My sister couldn't wait to see the zebra. We walked around and saw so many animals. My sister made me watch the zebra play.,But I didn't like zebras.
210,Rocket was the nickname of Jose. He was nicknamed that because of his speed. One day he was running track at school tournament. He won first place as the fastest kid in school.,Rocket was the nickname of Jose. He was nicknamed that because of his speed. One day he was running track at school tournament. He tripped before the finish line and lost first place.,Jose was embarrassed that he had lost.
211,"Bob had a young puppy. The puppy loved to play catch with Bob. Of course, the puppy grew into a dog. The dog grew old and could no longer play catch.","Bob had a young puppy. The puppy loved to play catch with Bob. Of course, the puppy grew into a dog. The dog grew old but still loved to play catch.",Bob was very happy about this.
212,Jennifer forgot to close the front door when she got home. By the time she noticed her pet cat had disappeared. She walked around the neighborhood calling for the cat. She made flyers with her contact information.,"Jennifer forgot to close the front door when she got home. By the time she noticed her pet cat had disappeared. Her friend brought over her dog, who was an expert tracker. They thought the dog could sniff out the cat.",Jennifer decided to walk her friend's dog around the block.
213,Peter's friends invite him for a small Halloween party. He arrives late and hasn't had time to eat dinner. A friend offers him a slice of pumpkin pie at the party. The pie is delicious and it has whipped cream on the side.,Peter's friends invite him for a small Halloween party. He arrives late and hasn't had time to eat dinner. A friend teased him for being late. They left no food for him.,Peter was mad at his friends.
214,Dan loves the sport of bowling. His dad taught him how to play when he was little. They used to compete in tournaments together. They had fond memories of bowling together.,Dan loves the sport of bowling. His dad taught him how to play when he was little. But his dad has since passed away. Bowling became a painful memory.,Dan decided not to bowl again.
215,Billy would wake up every morning and get ready for school. First he would take a shower to start getting ready. Next Billy would have to get dressed. After he was fully clothed he would eat breakfast.,Billy would wake up at the last minute every morning for school. He would not have time to shower and barely any to get dressed. He would forget his breakfast. He would forget his books too.,Billy was very disorganized.
216,Bob loved to watch movies. He was looking forward to a three day weekend coming up. He made a list of his favorite movies and invited some friends over. He spent the weekend with his friends watching all his favorite movies.,"Bob loved to watch movies. He was looking forward to a three day weekend coming up. He made a list of his favorite movies and invited some friends over. His friends called his movie selection ""stupid.""",Bob stopped talking to those friends.
217,Mike had a free Saturday. He drove to several car dealers. He was interested in seeing potential future cars for himself. Mike decided to buy a Jeep.,Mike had a free Saturday. He drove to several car dealers. He was interested in seeing potential future cars for himself. Mike asked for a Land Rover.,Mike never liked Jeeps.
219,Gregory took a pottery class at a nearby night school. He was terrible at sculpture. He grew to like throwing pots on pottery wheels very much. Eventually he was making pots half as tall as he was.,"Gregory took a pottery class at a nearby night school. He grew to like throwing pots on pottery wheels very much. But he did not want to use the pots. Rather, he found destroying pots invigorating.",He broke all of the pots he made.
221,I play the lottery a lot and I always lose. This year alone I've played over one hundred times. I did the math to see how much money I would have if I never played. Turns out I would have thousands more in my pocket.,I play the lottery a lot and I always lose. This year alone I've played over one hundred times. I didn’t do the math to see how much money I would have if I never played. I care about the gambling more than the earning.,I now play twice as much.
222,A man went into the library and grabbed some random books. He hid them in other parts of the library. The librarian stopped him and asked what he was doing. The man said he was trying to stop people from reading.,A man went into the library and grabbed some random books. He hid them in other parts of the library. The librarian stopped him and asked what he was doing. The man said he was reorganizing the books that had been placed on the wrong shelves. ,The librarian thanked the man.
301,"In 2005, I went to St Anselm College to play chess. My friend was a professor there. I was on a great streak and did not lose any games! I was so motivated to continue playing chess.","In 2005, I went to St Anselm College to play chess. My friend was a professor there. I was on a bad streak and lost all the games! After losing at chess, I realized I prefer team sports where I can rely on others.",I think I will start playing football.
